dataset	method	repeat_group	total_count
hg002	hifiasm	DNA	414
hg002	hifiasm	LINE	1235
hg002	hifiasm	LTR	694
hg002	hifiasm	Low_complexity	81
hg002	hifiasm	SINE	1381
hg002	hifiasm	Satellite	25
hg002	hifiasm	Simple_repeat	519
hg002	hifiasm	rRNA	24
hg002	rfhap	DNA	109
hg002	rfhap	LINE	417
hg002	rfhap	LTR	179
hg002	rfhap	Low_complexity	35
hg002	rfhap	SINE	412
hg002	rfhap	Satellite	75
hg002	rfhap	Simple_repeat	221
hg005	hifiasm	DNA	139
hg005	hifiasm	LINE	360
hg005	hifiasm	LTR	191
hg005	hifiasm	Low_complexity	24
hg005	hifiasm	SINE	411
hg005	hifiasm	Simple_repeat	182
hg005	rfhap	DNA	96
hg005	rfhap	LINE	359
hg005	rfhap	LTR	188
hg005	rfhap	Low_complexity	23
hg005	rfhap	SINE	405
hg005	rfhap	Satellite	43
hg005	rfhap	Simple_repeat	189
hg01109	hifiasm	DNA	715
hg01109	hifiasm	LINE	2468
hg01109	hifiasm	LTR	1170
hg01109	hifiasm	Low_complexity	199
hg01109	hifiasm	SINE	2403
hg01109	hifiasm	Satellite	610
hg01109	hifiasm	Simple_repeat	1048
hg01109	rfhap	DNA	260
hg01109	rfhap	LINE	954
hg01109	rfhap	LTR	574
hg01109	rfhap	Low_complexity	73
hg01109	rfhap	SINE	1127
hg01109	rfhap	Satellite	680
hg01109	rfhap	Simple_repeat	523
hg01243	hifiasm	DNA	786
hg01243	hifiasm	LINE	2644
hg01243	hifiasm	LTR	1348
hg01243	hifiasm	Low_complexity	168
hg01243	hifiasm	SINE	2628
hg01243	hifiasm	Satellite	449
hg01243	hifiasm	Simple_repeat	1166
hg01243	rfhap	DNA	209
hg01243	rfhap	LINE	697
hg01243	rfhap	LTR	442
hg01243	rfhap	Low_complexity	36
hg01243	rfhap	SINE	785
hg01243	rfhap	Satellite	742
hg01243	rfhap	Simple_repeat	440
