Dataset,Chemistry,Class,Specificity,Precision,Recall,F1,Pos Pred Value,Neg Pred Value,Balanced Accuracy,Prevalence,Detection Rate,Detection Prevalence
HG002,R10.4,A,0.999215,0.998424,0.994896,0.996657,0.998424,0.997452,0.997055,0.333333,0.331632,0.332155
HG002,R10.4,B,0.997971,0.995943,0.996074,0.996009,0.995943,0.998037,0.997023,0.333333,0.332025,0.333377
HG002,R10.4,U,0.995485,0.991,0.994372,0.992684,0.991,0.997181,0.994929,0.333333,0.331457,0.334468
HG005,R10.4,A,0.999571,0.999143,0.999242,0.999192,0.999143,0.999621,0.999406,0.333333,0.333081,0.333366
HG005,R10.4,B,0.999357,0.998715,0.999604,0.99916,0.998715,0.999802,0.999481,0.333333,0.333201,0.33363
HG005,R10.4,U,0.999571,0.999142,0.998154,0.998647,0.999142,0.999077,0.998862,0.333333,0.332718,0.333004
HG01243,R9.4.1,A,0.99954,0.999079,0.996753,0.997914,0.999079,0.998378,0.998147,0.333333,0.332251,0.332557
HG01243,R9.4.1,B,0.999142,0.998282,0.997059,0.99767,0.998282,0.99853,0.998101,0.333333,0.332353,0.332925
HG01243,R9.4.1,U,0.996998,0.994017,0.997549,0.99578,0.994017,0.998772,0.997274,0.333333,0.332516,0.334518
HG01109,R9.4.1,A,0.999618,0.999235,0.997766,0.9985,0.999235,0.998884,0.998692,0.333333,0.332589,0.332843
HG01109,R9.4.1,B,0.999559,0.999117,0.99759,0.998353,0.999117,0.998796,0.998575,0.333333,0.33253,0.332824
HG01109,R9.4.1,U,0.997737,0.995487,0.998472,0.996977,0.995487,0.999235,0.998104,0.333333,0.332824,0.334333
